bench name,total timing (seconds),iterations,total decision procedure timing (seconds),result (success/fail)
aws_linked_list_rbegin,7.980,1,5.739,success
aws_linked_list_remove,1.464,1,0.003,success
aws_linked_list_rend,7.771,1,5.604,success
aws_linked_list_swap_contents,21.609,1,18.825,success
aws_mul_size_checked,1.349,1,0.246,success
aws_mul_size_saturating,1.495,1,0.411,success
aws_nospec_mask,1.935,1,0.047,success
aws_priority_queue_capacity,6.090,1,3.630,success
aws_priority_queue_clean_up,3.675,1,1.266,success
aws_priority_queue_init_dynamic,3.031,1,0.505,success
aws_priority_queue_init_static,3.213,1,0.716,success
aws_priority_queue_pop,48.286,1,44.147,success
aws_priority_queue_push,585.142,1,577.196,success
aws_priority_queue_push_ref,502.434,1,494.844,success
aws_priority_queue_remove,70.293,1,66.173,success
aws_priority_queue_s_remove_node,1004.842,1,998.537,success
aws_priority_queue_s_sift_down,53.811,,0.000,undefined
aws_priority_queue_s_sift_either,179.852,1,166.929,success
aws_priority_queue_s_sift_up,26.521,1,19.916,success
aws_priority_queue_s_swap,213.655,1,209.658,success
aws_priority_queue_size,5.232,1,2.871,success
aws_priority_queue_top,22.976,1,20.297,success
aws_ptr_eq,0.896,1,0.002,success
aws_ring_buffer_acquire,35.843,1,31.841,success
aws_ring_buffer_acquire_up_to,50.247,1,45.826,success
aws_ring_buffer_buf_belongs_to_pool,8.304,1,5.203,success
aws_ring_buffer_clean_up,2.708,1,0.077,success
aws_ring_buffer_init,2.214,1,0.031,success
aws_ring_buffer_release,7.636,1,4.577,success
aws_round_up_to_power_of_two,0.277,1,0.033,success
aws_string_bytes,1.803,1,0.368,success
aws_string_compare,4.461,1,1.661,success
aws_string_destroy,2.467,1,0.189,success
aws_string_destroy_secure,2.813,1,0.204,success
aws_string_eq,3.681,1,1.163,success
aws_string_eq_byte_buf,3.742,1,0.882,success
aws_string_eq_byte_buf_ignore_case,4.160,1,1.240,success
aws_string_eq_byte_cursor,3.847,1,0.849,success
aws_string_eq_byte_cursor_ignore_case,4.089,1,1.240,success
aws_string_eq_c_str,2.854,1,0.404,success
aws_string_eq_c_str_ignore_case,3.633,1,1.163,success
aws_string_eq_ignore_case,4.188,1,1.623,success
aws_string_new_from_array,4.693,1,2.056,success
aws_string_new_from_c_str,3.077,1,0.447,success
aws_string_new_from_string,7.750,1,5.041,success
memcpy_using_uint64,26.900,1,25.954,success
memset_override_0,21.811,1,20.976,success
memset_using_uint64,31.602,1,30.756,success
